year,point,start_depth,end_depth,lon,lat,dry_weight,soc,field
2020,18,0,12,-89.91058502,38.01786016,461.1,0.77,ICG-Field-33
2020,24,0,12,-89.91209623,38.01863362,449.1,0.53,ICG-Field-33
2020,7,0,12,-89.91282526,38.01978685,478.3,0.62,ICG-Field-33
2020,21,0,12,-89.9125977,38.01979249,430.7,0.54,ICG-Field-33
2020,15,0,12,-89.91205374,38.02043668,373.2,0.82,ICG-Field-33
2020,25,0,12,-89.91172309,38.02071517,382.6,0.76,ICG-Field-33
2020,23,0,12,-89.91093017,38.02082492,310.6,0.54,ICG-Field-33
2020,12,0,12,-89.91094443,38.02118497,331.4,0.64,ICG-Field-33
2020,20,0,12,-89.91141738,38.02162375,276.4,0.64,ICG-Field-33
2020,17,0,12,-89.91098006,38.02208509,314.4,0.63,ICG-Field-33
2020,11,0,12,-89.91064227,38.02218356,256.9,0.71,ICG-Field-33
2020,29,0,12,-89.91133568,38.02243668,329.6,0.51,ICG-Field-33
2020,32,0,12,-89.9120723,38.02256743,305.7,0.72,ICG-Field-33
2020,22,0,12,-89.91324864,38.02184866,354.3,0.71,ICG-Field-33
2020,9,0,12,-89.91292948,38.02111684,280.2,0.55,ICG-Field-33
2020,16,0,12,-89.91468859,38.02082184,325.4,0.59,ICG-Field-33
2020,26,0,12,-89.91439005,38.02191045,291.3,1.04,ICG-Field-33
2020,27,0,12,-89.91484162,38.02180915,295.6,0.77,ICG-Field-33
2020,13,0,12,-89.91506919,38.0218035,309.7,0.68,ICG-Field-33
2020,4,0,12,-89.91528605,38.02152782,309.5,0.86,ICG-Field-33
2020,19,0,12,-89.91539984,38.021525,284.2,0.61,ICG-Field-33
2020,10,0,12,-89.91610039,38.02195811,293.7,0.78,ICG-Field-33
2020,1,0,12,-89.91654125,38.02158677,333.6,0.76,ICG-Field-33
2020,14,0,12,-89.91684332,38.02058816,284.7,0.76,ICG-Field-33
2020,2,0,12,-89.91592949,38.02052075,279.7,0.61,ICG-Field-33
2020,8,0,12,-89.91536058,38.02053487,317.4,0.61,ICG-Field-33
2020,3,0,12,-89.91624585,38.01988219,309.5,0.69,ICG-Field-33
2020,31,0,12,-89.91737295,38.01958391,323.8,0.55,ICG-Field-33
2020,5,0,12,-89.91725916,38.01958674,248.8,0.7,ICG-Field-33
2020,30,0,12,-89.91645556,38.01942649,296.8,0.61,ICG-Field-33
2020,28,0,12,-89.91601114,38.01970782,323.4,0.56,ICG-Field-33
2020,6,0,12,-89.91554888,38.01953909,315.6,0.59,ICG-Field-33